mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.1906623840332031,4.340648651123047,2.636075019836426
mps-uncap,0.9,1.89971923828125,12.691140174865723,5.362868309020996
mps-uncap,1.0,10.578632354736328,33.18071365356445,585.1030349731445
mps-uncap,0.5,0.042438507080078125,0.04363059997558594,0.035762786865234375
mps-uncap,0.6,0.0680685043334961,0.0400543212890625,0.23257732391357422
mps-uncap,0.7,0.6390810012817383,1.5178918838500977,1.06048583984375
mps-uncap,0.1,0.042438507080078125,0.055789947509765625,0.05245208740234375
mps-uncap,0.2,0.04315376281738281,0.05745887756347656,0.04792213439941406
mps-uncap,0.3,0.04315376281738281,0.05459785461425781,0.0457763671875
mps-uncap,0.4,0.041961669921875,0.05078315734863281,0.04363059997558594
