mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,6452.313648433998,188.4599954549421,1461.7914194624136
mps-uncap,0.9,7065.039480498219,212.8068454826208,1611.2390291959084
mps-uncap,1.0,7936.595838973741,236.65758208832793,1757.348570546258
mps-uncap,0.5,3927.232198421452,118.79487880476395,904.3985745464606
mps-uncap,0.6,4766.236323672332,142.35234841858156,1096.1282068047703
mps-uncap,0.7,5686.741362255715,166.84237336536256,1270.815773798252
mps-uncap,0.1,812.0836646327643,25.65299011709459,185.81273716665913
mps-uncap,0.2,1614.7472315181037,46.53538804650982,358.212481804406
mps-uncap,0.3,2399.8478803177927,64.87990295807185,541.2310419094865
mps-uncap,0.4,3166.4307717626334,91.97346758278748,726.3528995957535
