mode,load,0_alexnet-16,1_efficientnet_b5-4,2_mobilenet_v3_large-8
mps-uncap,0.8,1.3971328735351562,8.986711502075195,2.8460025787353516
mps-uncap,0.9,1.3904571533203125,9.073019027709961,2.8176307678222656
mps-uncap,1.0,1.4331340789794922,9.898662567138672,2.9251575469970703
mps-uncap,0.5,1.3976097106933594,9.016275405883789,2.792835235595703
mps-uncap,0.6,1.4145374298095703,8.901596069335938,2.7980804443359375
mps-uncap,0.7,1.4209747314453125,8.923768997192383,2.788066864013672
mps-uncap,0.1,1.3971328735351562,8.91256332397461,2.8285980224609375
mps-uncap,0.2,1.4081001281738281,9.036064147949219,2.848386764526367
mps-uncap,0.3,1.3966560363769531,8.735179901123047,2.8409957885742188
mps-uncap,0.4,1.3957023620605469,8.860111236572266,2.767324447631836
