mode,load,0_efficientnet_b7-4,1_efficientnet_b7-4,2_vgg16-16
mps-uncap,0.8,21.365642547607422,21.64459228515625,10.286331176757812
mps-uncap,0.9,25.27022361755371,21.94499969482422,10.965824127197266
mps-uncap,1.0,22.693634033203125,40.30251502990723,11.390924453735352
mps-uncap,0.5,21.16847038269043,21.47984504699707,10.184288024902344
mps-uncap,0.6,20.968914031982422,21.22330665588379,11.130094528198242
mps-uncap,0.7,21.354198455810547,21.422624588012695,10.238170623779297
mps-uncap,0.1,22.19676971435547,22.466182708740234,11.100292205810547
mps-uncap,0.2,21.883726119995117,21.755218505859375,11.068344116210938
mps-uncap,0.3,21.28911018371582,21.525144577026367,11.04879379272461
mps-uncap,0.4,21.4846134185791,21.397829055786133,10.046958923339844
