mode,load,0_densenet201-4,1_resnet50-8,2_squeezenet1_0-16
mps-uncap,0.8,111.65020624132896,708.932866909281,2614.5452319599844
mps-uncap,0.9,124.99891656590675,794.4898691835477,2961.751930631151
mps-uncap,1.0,138.98174534645568,862.3197768427721,3289.239753559021
mps-uncap,0.5,71.2802927556855,434.1749387376002,1642.1527312729322
mps-uncap,0.6,80.84189253459644,522.2901688292675,1949.0307868792556
mps-uncap,0.7,96.39068795543723,598.3680873817264,2326.139440715414
mps-uncap,0.1,14.459157864506132,95.86415532280478,342.71035569898294
mps-uncap,0.2,27.607873194130864,181.03570309884026,661.4292084074334
mps-uncap,0.3,42.87861988947445,271.6732064348602,996.8818203703064
mps-uncap,0.4,54.34328631591141,354.94207226116026,1312.0539606704187
