mode,load,0_efficientnet_b5-2,1_efficientnet_b5-2
mig,0.1,0.030994415283203125,0.030040740966796875
mig,0.2,0.028371810913085938,0.02872943878173828
mig,0.3,2.8905868530273438,1.4719963073730469
mig,0.4,8.28862190246582,9.826183319091797
mig,0.5,40.144920349121094,30.55715560913086
mig,0.6,1907.2109460830688,154.03234958648682
mig,0.7,5846.768856048584,4438.930034637451
mig,0.8,8724.996209144592,7849.723219871521
mig,0.9,11357.14602470398,9684.086561203003
mig,1.0,13545.099139213562,12698.19974899292
