mode,load,0_efficientnet_b5-2,1_efficientnet_b5-2
mig,0.1,28.720402717590336,27.29225158691407
mig,0.2,29.616093635559082,30.320811271667477
mig,0.3,41.044187545776374,38.93749713897705
mig,0.4,51.00269317626954,57.311058044433615
mig,0.5,135.46252250671392,119.60790157318118
mig,0.6,3522.998976707459,565.5886650085449
mig,0.7,11320.696353912354,9231.447339057922
mig,0.8,16150.150537490845,14601.529121398926
mig,0.9,19820.83225250244,18269.143772125248
mig,1.0,24368.295788764954,22518.74701976776
