mode,load,0_densenet121-4,1_resnet18-8,2_vgg13-4
mps-uncap,0.8,181.2015597253555,1454.4944876277816,863.7958576907347
mps-uncap,0.9,207.78274798036347,1645.0150893332489,966.0291114210152
mps-uncap,1.0,214.34208784041468,1679.8040110569973,982.6408358309767
mps-uncap,0.5,111.42896767209535,938.1200575845629,532.5476659690291
mps-uncap,0.6,141.37577022968506,1136.7927441113163,642.7907464709808
mps-uncap,0.7,162.09696208361999,1300.5388257589616,737.0445531299949
mps-uncap,0.1,21.73867768937389,182.10482916180032,109.90154042715056
mps-uncap,0.2,47.693698934690644,369.20393197854554,220.08542411712156
mps-uncap,0.3,67.05849556184837,542.3450224538923,331.0376282081768
mps-uncap,0.4,92.23811989595667,753.5302525922539,428.21347985898075
