mode,load,0_efficientnet_b6-16,1_efficientnet_b7-2,2_squeezenet1_0-2
mps-uncap,0.8,21.547317504882812,20.717144012451172,1.6963481903076172
mps-uncap,0.9,20.814180374145508,21.344423294067383,1.703500747680664
mps-uncap,1.0,21.161556243896484,27.163028717041016,2.0089149475097656
mps-uncap,0.5,21.4383602142334,21.029949188232422,1.7349720001220703
mps-uncap,0.6,21.470308303833008,20.765066146850586,1.7266273498535156
mps-uncap,0.7,20.97797393798828,20.688295364379883,1.7156600952148438
mps-uncap,0.1,21.380901336669922,20.68328857421875,1.7921924591064453
mps-uncap,0.2,21.342754364013672,21.04496955871582,1.7766952514648438
mps-uncap,0.3,21.36993408203125,20.93362808227539,1.7702579498291016
mps-uncap,0.4,21.3472843170166,20.956754684448242,1.735687255859375
