mode,load,0_efficientnet_b6-16,1_efficientnet_b7-2,2_squeezenet1_0-2
mps-uncap,0.8,710.9329700469971,609.8251342773438,149.71661567687988
mps-uncap,0.9,6032.187461853027,1715.9085273742676,63.32516670227051
mps-uncap,1.0,4917.5403118133545,9748.450756072998,8597.392797470093
mps-uncap,0.5,147.46451377868652,155.57456016540527,16.669511795043945
mps-uncap,0.6,180.20105361938477,196.08354568481445,46.138763427734375
mps-uncap,0.7,288.23232650756836,277.9345512390137,78.73415946960449
mps-uncap,0.1,58.397769927978516,72.82638549804688,12.1307373046875
mps-uncap,0.2,71.43092155456543,79.5755386352539,17.07768440246582
mps-uncap,0.3,83.86993408203125,68.58062744140625,20.162343978881836
mps-uncap,0.4,87.25690841674805,97.62430191040039,27.507305145263672
