mode,load,0_efficientnet_b6-16,1_efficientnet_b7-2,2_squeezenet1_0-2
mps-uncap,0.8,28.153181076049805,38.29216957092285,7.782697677612305
mps-uncap,0.9,31.278610229492188,34.056901931762695,6.155490875244141
mps-uncap,1.0,27.680158615112305,37.0786190032959,8.016109466552734
mps-uncap,0.5,30.76028823852539,32.56845474243164,5.916357040405273
mps-uncap,0.6,27.73427963256836,38.16723823547363,7.591962814331055
mps-uncap,0.7,27.881860733032227,37.46938705444336,7.650136947631836
mps-uncap,0.1,39.963483810424805,47.6374626159668,6.590127944946289
mps-uncap,0.2,34.08503532409668,39.9782657623291,7.241964340209961
mps-uncap,0.3,31.87847137451172,34.520626068115234,7.735967636108398
mps-uncap,0.4,31.785249710083008,34.01827812194824,7.404804229736328
