mode,load,0_efficientnet_b6-16,1_efficientnet_b7-2,2_squeezenet1_0-2
mps-uncap,0.8,274.3662595748902,269.92421150207525,55.72347640991211
mps-uncap,0.9,5489.407968521117,1353.8859128952029,21.547031402587894
mps-uncap,1.0,3976.3472080230713,8174.864101409913,7621.324181556702
mps-uncap,0.5,67.42215156555176,64.05830383300781,6.706905364990235
mps-uncap,0.6,75.58465003967287,83.01992416381842,10.326981544494629
mps-uncap,0.7,106.42213821411143,116.31612777709957,17.431259155273438
mps-uncap,0.1,33.96887779235839,38.39876651763916,5.098438262939453
mps-uncap,0.2,34.995412826538086,37.7650260925293,6.352472305297852
mps-uncap,0.3,40.74807167053223,39.893937110900886,6.810021400451661
mps-uncap,0.4,44.77062225341797,47.33924865722656,6.996870040893555
