mode,load,0_efficientnet_b6-16,1_efficientnet_b7-2,2_squeezenet1_0-2
mps-uncap,0.8,26.406288146972656,31.350135803222656,2.995729446411133
mps-uncap,0.9,29.421329498291016,30.427098274230957,2.583026885986328
mps-uncap,1.0,25.945186614990234,31.444191932678223,3.043651580810547
mps-uncap,0.5,24.52564239501953,25.565743446350098,2.3555755615234375
mps-uncap,0.6,24.956226348876953,27.62317657470703,2.5701522827148438
mps-uncap,0.7,25.767922401428223,29.074430465698242,2.7559995651245117
mps-uncap,0.1,22.22299575805664,23.445606231689453,3.9412975311279297
mps-uncap,0.2,22.159337997436523,23.404836654663086,3.8552284240722656
mps-uncap,0.3,22.664308547973633,22.98128604888916,3.4912824630737305
mps-uncap,0.4,23.002147674560547,23.262977600097656,2.967953681945801
