mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,207.86332130432103,138.51480722427368,92.14258193969744
mig,0.6,239.00874614715573,423.58558654785116,97.8157329559326
mps-uncap,0.7,283.4629702568054,136.86858177185056,162.84806251525868
mig,0.7,377.7105569839475,737.0507001876832,122.85828590393066
mps-uncap,0.8,458.9410781860342,168.16274642944327,495.054435729981
mig,0.8,805.0165629386902,717.046892642975,195.44890642166135
mps-uncap,0.9,472.1340537071228,158.92748832702634,789.6297073364258
mig,0.9,701.172742843628,2284.7683811187744,206.6013336181641
mps-uncap,1.0,1780.0706648826592,281.7343115806582,12174.00122642517
mig,1.0,1919.854714870453,3108.030226230621,2800.4869532585144
mps-uncap,1.1,12531.815629005432,294.122846126556,22521.63945198059
mig,1.1,10130.302467346191,9973.623304367067,8800.199782848358
mps-uncap,1.2,19469.87846851349,277.93578624725205,34154.87630844116
mig,1.2,13880.827138423921,18490.91094970703,15520.439004898071
mps-uncap,1.3,31353.309020996094,354.611268043518,37551.65457725525
mig,1.3,22005.568299293518,23536.90790176392,21589.89134311676
