mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,361.99686420785264,192.59386941156157,526.9494676532534
mig,0.6,341.85196163416083,174.65454408977553,530.8468951385327
mps-uncap,0.7,421.9379394886232,217.38102389714481,644.9789611895931
mig,0.7,413.5314506004361,226.41256100388568,633.6120250195941
mps-uncap,0.8,489.68472416786113,256.40733156215055,747.4860677986819
mig,0.8,504.6428269397178,240.4197979292213,723.8119354663912
mps-uncap,0.9,513.5823358677446,272.5323000630995,799.8841701136326
mig,0.9,535.9240867011304,290.0655917942564,802.2956954858014
mps-uncap,1.0,609.2578001602627,296.9583100015863,789.9611612374599
mig,1.0,596.3663980476553,299.90760281199704,894.3240050871894
mps-uncap,1.1,599.8805974360928,328.91300354393627,753.1086914441512
mig,1.1,607.662247865698,302.3169897614047,905.2237221568955
mps-uncap,1.2,574.6088271449244,372.04997961332094,666.1196231260692
mig,1.2,616.1827934529437,306.6015039585801,909.4820379875573
mps-uncap,1.3,545.3941937469025,411.0762560922825,684.1670142400458
mig,1.3,604.0410084847447,302.3799308150249,900.5910803443073
