mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,64.84496593475342,53.6665678024292,26.091814041137695
mig,0.6,53.71072292327881,105.08017539978027,18.491220474243164
mps-uncap,0.7,64.98808860778809,50.48880577087402,28.853273391723633
mig,0.7,53.24294567108154,104.91158962249756,18.370389938354492
mps-uncap,0.8,74.44486618041992,51.376914978027344,33.392906188964844
mig,0.8,53.50058078765869,105.10168075561523,18.25730800628662
mps-uncap,0.9,75.61242580413818,51.54938697814942,34.357643127441406
mig,0.9,53.64704132080078,105.53364753723145,18.29843521118164
mps-uncap,1.0,75.50780773162842,56.28657341003418,32.01794624328613
mig,1.0,55.512428283691406,108.1773042678833,18.77050399780274
mps-uncap,1.1,78.22952270507811,55.937933921813965,32.63106346130371
mig,1.1,54.83052730560303,107.43005275726318,18.420696258544922
mps-uncap,1.2,81.58879280090332,51.63588523864746,37.18214035034179
mig,1.2,52.980828285217285,105.65299987792969,17.971038818359375
mps-uncap,1.3,81.07442855834961,55.60660362243652,33.90812873840332
mig,1.3,56.319427490234375,108.66875648498535,18.788361549377438
