mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,302.0670413970947,181.31327629089355,145.2648639678955
mig,0.6,288.4831428527832,689.082145690918,133.73756408691406
mps-uncap,0.7,393.7230110168457,277.2531509399414,296.6761589050293
mig,0.7,531.785249710083,859.1611385345459,170.00102996826172
mps-uncap,0.8,605.2939891815186,274.97291564941406,576.8287181854248
mig,0.8,942.3365592956543,851.1033058166504,272.5374698638916
mps-uncap,0.9,632.4031352996826,205.66844940185547,906.2378406524658
mig,0.9,800.168514251709,2443.6941146850586,249.03178215026855
mps-uncap,1.0,1957.6523303985596,354.10380363464355,12292.943000793457
mig,1.0,2024.963140487671,3271.2557315826416,2856.1625480651855
mps-uncap,1.1,12760.318279266357,366.55545234680176,22799.00074005127
mig,1.1,10352.94795036316,10118.97897720337,8866.67513847351
mps-uncap,1.2,19756.86502456665,379.08172607421875,34614.014863967896
mig,1.2,14095.592975616455,18716.265439987183,15600.427150726318
mps-uncap,1.3,31511.865854263306,482.1016788482666,37937.03389167786
mig,1.3,22261.73758506775,23715.555667877197,21761.744260787964
