mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,50.885796546936035,48.30610752105713,17.286062240600586
mig,0.6,63.802242279052734,126.74951553344727,22.92335033416748
mps-uncap,0.7,62.8737211227417,47.480106353759766,25.783419609069824
mig,0.7,79.96368408203125,204.35476303100586,29.873371124267578
mps-uncap,0.8,90.66438674926758,50.14467239379883,62.673091888427734
mig,0.8,130.08570671081543,194.36514377593994,38.30528259277344
mps-uncap,0.9,125.79655647277832,50.568580627441406,234.13419723510742
mig,0.9,165.77887535095215,603.8012504577637,53.9548397064209
mps-uncap,1.0,621.6000318527222,58.492183685302734,4843.805551528931
mig,1.0,950.299859046936,1167.425274848938,1407.0475101470947
mps-uncap,1.1,6052.710056304932,65.1017427444458,12296.534538269043
mig,1.1,4952.786207199097,6716.720819473267,3820.917248725891
mps-uncap,1.2,9332.508563995361,65.51790237426758,16850.550055503845
mig,1.2,6996.337413787842,7664.94345664978,7935.553073883057
mps-uncap,1.3,14605.960845947266,85.1144790649414,18025.21014213562
mig,1.3,10277.8959274292,12281.509637832642,10426.843404769897
