mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,28.417587280273438,29.445171356201172,8.649110794067383
mig,0.6,50.188302993774414,101.1054515838623,16.695022583007812
mps-uncap,0.7,28.40590476989746,29.500722885131836,8.485078811645508
mig,0.7,50.145864486694336,101.20558738708496,16.715049743652344
mps-uncap,0.8,28.407812118530273,29.50143814086914,8.707284927368164
mig,0.8,50.046443939208984,101.40538215637207,16.6928768157959
mps-uncap,0.9,28.3963680267334,29.625654220581055,8.828163146972656
mig,0.9,50.115108489990234,101.41491889953613,16.780853271484375
mps-uncap,1.0,36.53454780578613,34.775733947753906,23.949861526489258
mig,1.0,50.4610538482666,102.48279571533203,16.866207122802734
mps-uncap,1.1,81.04705810546875,48.17700386047363,33.20884704589844
mig,1.1,50.339698791503906,102.6620864868164,16.867399215698242
mps-uncap,1.2,87.98527717590332,44.370412826538086,44.37994956970215
mig,1.2,50.44960975646973,102.09798812866211,16.963720321655273
mps-uncap,1.3,83.65249633789062,48.42233657836914,38.41137886047363
mig,1.3,52.17552185058594,103.14702987670898,17.320871353149414
