mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,83.60815048217773,59.33356285095215,39.01076316833496
mig,0.6,59.21339988708496,108.73031616210938,21.625995635986328
mps-uncap,0.7,86.60554885864258,55.17148971557617,42.963504791259766
mig,0.7,63.091278076171875,107.12909698486328,30.725479125976562
mps-uncap,0.8,88.62113952636719,57.665109634399414,46.730756759643555
mig,0.8,59.73005294799805,107.92994499206543,22.189617156982422
mps-uncap,0.9,88.03987503051758,56.98728561401367,42.97375679016113
mig,0.9,56.679487228393555,108.42180252075195,25.03180503845215
mps-uncap,1.0,87.0363712310791,64.9571418762207,41.92066192626953
mig,1.0,62.239885330200195,115.21553993225098,29.08158302307129
mps-uncap,1.1,88.19389343261719,62.488555908203125,41.65530204772949
mig,1.1,58.9601993560791,110.80169677734375,23.647069931030273
mps-uncap,1.2,87.95523643493652,56.21147155761719,44.342756271362305
mig,1.2,60.18805503845215,112.18047142028809,27.223825454711914
mps-uncap,1.3,87.63289451599121,63.28725814819336,42.79732704162598
mig,1.3,58.29453468322754,112.87689208984375,24.613380432128906
