mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,35.8654260635376,45.38440704345703,12.748003005981445
mig,0.6,51.30600929260254,102.97870635986328,17.128586769104004
mps-uncap,0.7,38.70117664337158,45.50623893737793,15.070438385009766
mig,0.7,51.05447769165039,102.51379013061523,17.09771156311035
mps-uncap,0.8,39.873600006103516,47.77264595031738,15.964508056640625
mig,0.8,51.140785217285156,102.7003526687622,17.181396484375
mps-uncap,0.9,40.253400802612305,48.66600036621094,16.417264938354492
mig,0.9,51.3460636138916,102.99515724182129,17.279386520385742
mps-uncap,1.0,41.719913482666016,52.97970771789551,17.319917678833008
mig,1.0,51.91349983215332,104.04467582702637,17.34161376953125
mps-uncap,1.1,45.255184173583984,52.9630184173584,18.063783645629883
mig,1.1,51.86653137207031,103.68645191192627,17.417430877685547
mps-uncap,1.2,51.25761032104492,49.32594299316406,19.104957580566406
mig,1.2,51.629066467285156,103.40547561645508,17.423629760742188
mps-uncap,1.3,61.98000907897949,52.628517150878906,23.368358612060547
mig,1.3,51.98979377746582,105.29685020446777,17.37213134765625
