mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,222.5666046142578,126.76548957824707,126.99270248413086
mig,0.6,237.8518581390381,585.0725173950195,116.92309379577637
mps-uncap,0.7,355.56721687316895,229.59661483764648,280.0486087799072
mig,0.7,481.6141128540039,757.4806213378906,152.83823013305664
mps-uncap,0.8,565.0734901428223,224.4703769683838,549.1564273834229
mig,0.8,891.6850090026855,748.7103939056396,254.1346549987793
mps-uncap,0.9,582.8022956848145,155.3964614868164,891.6568756103516
mig,0.9,748.1355667114258,2340.5098915100098,231.92811012268066
mps-uncap,1.0,1879.040241241455,298.65336418151855,12256.856679916382
mig,1.0,1973.0157852172852,3167.9015159606934,2837.1448516845703
mps-uncap,1.1,12720.19100189209,312.39962577819824,22764.8024559021
mig,1.1,10301.017999649048,10015.570878982544,8849.20620918274
mps-uncap,1.2,19716.915369033813,329.64062690734863,34585.015535354614
mig,1.2,14041.449308395386,18613.903760910034,15582.734823226929
mps-uncap,1.3,31462.701559066772,430.74893951416016,37912.11938858032
mig,1.3,22205.494165420532,23608.64496231079,21744.593143463135
