mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,0.6,81.02463960647576,57.97352313995362,35.0590705871582
mig,0.6,55.00424146652222,106.56530380249022,19.92187261581421
mps-uncap,0.7,81.8921208381653,53.0377197265625,39.47743892669678
mig,0.7,54.624457359313965,106.20555639266968,19.935131072998047
mps-uncap,0.8,84.38838005065918,55.02492427825926,39.80503082275391
mig,0.8,55.62865495681763,107.2067427635193,19.97675895690918
mps-uncap,0.9,84.04821157455444,54.08697605133056,40.011610984802246
mig,0.9,55.82115173339844,107.53826141357423,20.110177993774414
mps-uncap,1.0,84.08060550689697,59.94828939437866,37.359108924865716
mig,1.0,57.47044324874878,109.76001977920532,21.812751293182373
mps-uncap,1.1,83.77856254577637,59.01533365249634,37.28096961975096
mig,1.1,56.93208694458007,109.0998649597168,21.054100990295407
mps-uncap,1.2,85.65520286560059,53.92776727676391,40.998029708862305
mig,1.2,55.29342174530029,107.68704414367676,20.243811607360836
mps-uncap,1.3,84.17379379272462,58.80206584930419,38.04159164428711
mig,1.3,57.379913330078125,109.4803237915039,22.00889348983764
