mode,load,0_densenet161-32,1_efficientnet_b6-2,2_mobilenet_v3_small-2
mps-uncap,0.8,147.91207313537598,40.51072597503663,14.173412322998049
mps-uncap,0.9,253.39012145996094,160.02049446105966,31.442356109619144
mps-uncap,1.0,1408.0093622207644,763.6981010437013,827.0822763442993
mps-uncap,0.5,42.78087615966797,20.385599136352553,6.659507751464842
mps-uncap,0.6,61.38591766357422,20.003509521484382,7.350158691406251
mps-uncap,0.7,90.79360961914064,37.45880126953123,10.04326343536377
mps-uncap,0.1,0.0782012939453125,0.07481575012207031,0.7095336914062532
mps-uncap,0.2,18.30210685729981,9.829521179199219,3.6161422729492183
mps-uncap,0.3,27.478981018066406,12.09583282470703,5.179834365844733
mps-uncap,0.4,33.79473686218261,14.131212234497072,6.335854530334473
