mode,load,0_densenet161-32,1_efficientnet_b6-2,2_mobilenet_v3_small-2
mps-uncap,0.8,731.8305380110411,64.39071249395458,357.1917901004833
mps-uncap,0.9,830.3203829705656,76.13943797860352,413.029608805343
mps-uncap,1.0,923.3116001199556,83.64023107210747,452.4583187919351
mps-uncap,0.5,481.5892567785695,42.69657906736928,226.3215115439309
mps-uncap,0.6,564.5342319626427,49.97927957621689,269.09006386065965
mps-uncap,0.7,648.956848502755,58.971285217575115,315.15637531161906
mps-uncap,0.1,91.08247292119702,8.012871734305985,43.910102831598536
mps-uncap,0.2,185.17670939497216,16.958907428528963,92.37436650883271
mps-uncap,0.3,277.5525244525959,23.189144278434615,138.80140976883524
mps-uncap,0.4,380.88163288723763,34.2950071375199,176.65570139642833
