mode,load,0_densenet201-2,1_mobilenet_v2-32,2_resnet34-8
mps-uncap,0.8,19.3483829498291,24.756550788879395,11.818885803222656
mps-uncap,0.9,2541.44287109375,1224.220633506775,282.437801361084
mps-uncap,1.0,7659.5553159713745,3003.288984298706,4663.321971893311
mps-uncap,0.5,0.028371810913085938,0.9522438049316406,0.022649765014648438
mps-uncap,0.6,6.604313850402832,4.816293716430664,0.029206275939941406
mps-uncap,0.7,18.05901527404785,10.36834716796875,2.267122268676758
mps-uncap,0.1,0.04220008850097656,0.030517578125,0.03325939178466797
mps-uncap,0.2,0.032067298889160156,0.028371810913085938,0.027894973754882812
mps-uncap,0.3,0.03170967102050781,0.026702880859375,0.027179718017578125
mps-uncap,0.4,0.026464462280273438,0.025510787963867188,0.020742416381835938
