mode,load,0_densenet201-2,1_mobilenet_v2-32,2_resnet34-8
mps-uncap,0.8,20.519495010375977,6.231069564819336,3.3807754516601562
mps-uncap,0.9,29.474735260009766,6.742715835571289,3.5195350646972656
mps-uncap,1.0,23.107051849365234,7.01141357421875,3.867626190185547
mps-uncap,0.5,20.56097984313965,5.896806716918945,3.4360885620117188
mps-uncap,0.6,20.711660385131836,5.938053131103516,3.4258365631103516
mps-uncap,0.7,20.64990997314453,5.916357040405273,3.432750701904297
mps-uncap,0.1,20.82204818725586,6.72149658203125,3.546476364135742
mps-uncap,0.2,20.22242546081543,6.236076354980469,3.542184829711914
mps-uncap,0.3,20.838260650634766,5.990266799926758,3.3659934997558594
mps-uncap,0.4,20.3857421875,5.94329833984375,3.421783447265625
