mode,load,0_mobilenet_v2-2,1_mobilenet_v2-2,2_mobilenet_v2-2,3_mobilenet_v2-2
mig,0.1,85.92737108031437,86.08879262329025,87.92162772093887,75.31820022160167
mig,0.2,173.9328640524268,179.53832705634346,176.95180586251468,153.3386747312115
mig,0.3,259.18135643082564,262.2021790489631,269.11948808425444,232.96887496969754
mig,0.4,350.79594622281155,348.15662169143496,352.5887627320449,303.1823561262464
mig,0.5,421.0668583435765,434.66330388250276,433.2608000916483,381.7685034592997
mig,0.6,506.6920003556502,520.4927969995181,539.4450464727096,458.6910793187168
mig,0.7,603.0397898647146,611.2675529785257,619.2381625540618,528.8958003036581
mig,0.8,698.7194408174472,690.6558119694151,693.0738515414033,605.6119035297631
mig,0.9,767.5355057090779,770.9251264029659,760.7640390823349,677.8431386439478
mig,1.0,860.5471825720987,874.778797018576,867.039474712175,771.1368498332888
