mode,load,0_mobilenet_v2-2,1_mobilenet_v2-2,2_mobilenet_v2-2,3_mobilenet_v2-2
mig,0.1,8.535623550415039,8.728504180908203,8.079862594604494,8.112359046936039
mig,0.2,10.547041893005371,10.675668716430664,10.488176345825197,10.164976119995117
mig,0.3,10.176229476928718,10.089397430419922,9.953546524047852,10.531997680664062
mig,0.4,8.48660469055176,8.612442016601562,8.612918853759771,8.778476715087894
mig,0.5,7.207965850830078,6.889581680297852,7.1704864501953125,7.840394973754883
mig,0.6,7.519912719726562,6.946086883544922,7.2341203689575195,8.165907859802246
mig,0.7,9.889864921569831,10.420560836791992,9.147071838378908,9.36400890350342
mig,0.8,14.006853103637695,13.910055160522461,13.113737106323242,13.488483428955078
mig,0.9,19.560003280639656,23.51856231689453,19.904613494873047,23.13084602355957
mig,1.0,102.44250297546387,191.80665016174316,418.18602085113525,98.64702224731447
