mode,load,0_mobilenet_v2-2,1_mobilenet_v2-2,2_mobilenet_v2-2,3_mobilenet_v2-2
mig,0.1,6.28136396408081,6.291484832763672,6.1844539642333975,6.258099079132081
mig,0.2,6.342186927795409,6.277024745941162,6.307044029235842,6.263065338134765
mig,0.3,6.1753129959106445,6.127357482910154,6.104536056518555,6.3140034675598145
mig,0.4,5.109324455261226,5.056383609771729,5.0188732147216815,5.352010726928713
mig,0.5,4.139385223388668,3.963851928710938,3.9245152473449707,4.35802698135376
mig,0.6,3.721170425415039,3.6705732345581037,3.6542391777038574,3.766014575958252
mig,0.7,2.825725078582762,2.893900871276857,2.574100494384765,3.2045841217041016
mig,0.8,2.4831295013427734,2.476215362548828,2.488040924072265,2.602100372314453
mig,0.9,2.4220275878906254,2.483367919921875,2.4480819702148438,2.6267910003662114
mig,1.0,2.441883087158203,2.512273788452148,2.4675393104553223,2.591099739074707
