mode,load,0_mobilenet_v3_large-4,1_resnet101-2,2_vgg11-4
mps-uncap,0.8,12.784361839294434,15.978670120239263,7.207536697387697
mps-uncap,0.9,36.75415515899658,26.28648281097412,13.10431957244873
mps-uncap,1.0,2831.7485570907593,75.93424320220943,135.77971458435064
mps-uncap,0.5,6.432390213012695,9.70282554626465,2.2324323654174805
mps-uncap,0.6,5.767917633056641,9.68623161315918,3.0660390853881845
mps-uncap,0.7,6.949019432067872,13.097715377807617,4.090547561645507
mps-uncap,0.1,3.5399913787841797,1.800870895385738,0.06349086761474608
mps-uncap,0.2,6.4338207244873065,9.03925895690918,0.7070541381835939
mps-uncap,0.3,6.881427764892572,9.772324562072756,1.3415813446044922
mps-uncap,0.4,7.199954986572268,9.952592849731445,1.8722534179687498
