mode,load,0_mobilenet_v3_large-4,1_resnet101-2,2_vgg11-4
mps-uncap,0.8,4.008769989013672,9.055519104003908,2.6314735412597656
mps-uncap,0.9,4.149937629699707,9.279847145080566,2.7022361755371094
mps-uncap,1.0,4.349017143249512,9.587764739990234,2.810955047607422
mps-uncap,0.5,4.852914810180664,11.348104476928711,2.4247169494628906
mps-uncap,0.6,4.563355445861817,9.743928909301758,2.4597883224487305
mps-uncap,0.7,3.9263486862182626,9.397888183593752,2.495861053466797
mps-uncap,0.1,7.493495941162109,13.302278518676758,2.1857738494873047
mps-uncap,0.2,7.705783843994141,13.611602783203127,2.2640228271484375
mps-uncap,0.3,7.290363311767578,13.471221923828125,2.3598670959472656
mps-uncap,0.4,6.188440322875977,13.032722473144533,2.4133682250976562
