mode,load,0_efficientnet_b5-32,1_squeezenet1_0-32,2_vgg19-8
mps-uncap,0.8,180.55055141448972,43.916130065917976,39.7768497467041
mps-uncap,0.9,443.5286045074463,71.7155933380127,62.06774711608887
mps-uncap,1.0,835.5437994003296,205.5105686187745,329.58340644836426
mps-uncap,0.5,73.19483757019042,17.922735214233402,17.566227912902832
mps-uncap,0.6,80.14965057373047,19.570207595825195,19.23189163208008
mps-uncap,0.7,104.1573762893677,24.294924736022946,24.433183670043967
mps-uncap,0.1,32.39178657531738,7.505035400390625,6.9660663604736355
mps-uncap,0.2,41.286325454711914,10.503053665161133,10.044884681701658
mps-uncap,0.3,46.786069869995124,10.946130752563475,11.378335952758793
mps-uncap,0.4,60.34841537475586,13.296747207641602,13.109946250915527
