mode,load,0_efficientnet_b6-8,1_mobilenet_v3_small-16,2_squeezenet1_0-16
mps-uncap,0.8,246.8615218744703,2192.567629189869,2565.928302593296
mps-uncap,0.9,274.40697795959,2467.306033613278,2959.153094217661
mps-uncap,1.0,315.2830262130474,2727.8295376788583,3251.1270723855814
mps-uncap,0.5,155.60494938667236,1351.1061975931734,1588.0658046366993
mps-uncap,0.6,183.8111995387484,1610.9301116978058,1946.230895149033
mps-uncap,0.7,217.77423347098397,1902.5477052335732,2305.4767076712465
mps-uncap,0.1,29.672521699350213,263.99053951867216,329.02424755654545
mps-uncap,0.2,66.06033393257594,561.9422177579904,639.5798288533206
mps-uncap,0.3,95.1921608806546,791.9058825605333,951.2573955346979
mps-uncap,0.4,111.56313687488576,1115.4579598275204,1301.2026131487012
