mode,load,0_densenet121-4,1_densenet121-4
mig,0.1,0.012159347534179688,0.012874603271484375
mig,0.2,0.010251998901367188,0.011444091796875
mig,0.3,0.010967254638671875,0.01049041748046875
mig,0.4,0.01049041748046875,0.01049041748046875
mig,0.5,0.009775161743164062,0.010013580322265625
mig,0.6,0.009059906005859375,0.010013580322265625
mig,0.7,0.009775161743164062,0.009775161743164062
mig,0.8,0.010728836059570312,0.010728836059570312
mig,0.9,0.008821487426757812,0.009775161743164062
mig,1.0,0.011205673217773438,0.011205673217773438
