mode,load,0_squeezenet1_1-4,1_squeezenet1_1-4
mig,0.1,1.741647720336914,1.8057823181152344
mig,0.2,1.7371177673339844,1.7476081848144531
mig,0.3,1.6832351684570312,1.7330646514892578
mig,0.4,1.7359256744384766,1.7457008361816406
mig,0.5,1.7116069793701172,1.73187255859375
mig,0.6,1.6980171203613281,1.729726791381836
mig,0.7,1.7490386962890625,1.7426013946533203
mig,0.8,1.7859935760498047,1.7867088317871094
mig,0.9,1.7786026000976562,1.817464828491211
mig,1.0,1.7523765563964844,1.8346309661865234
