mode,load,0_mobilenet_v3_large-4,1_vgg13-32,2_vgg19-16
mps-uncap,0.8,72.55752083601473,1103.8293989478052,422.57453841138926
mps-uncap,0.9,80.93589804212831,1239.5120440473056,483.17014563000816
mps-uncap,1.0,88.2066422604253,1340.1739253308608,533.2086727659381
mps-uncap,0.5,47.01177911226196,683.2988000020207,279.6778959678313
mps-uncap,0.6,53.13309277715673,818.3634524953428,312.0462754205867
mps-uncap,0.7,63.39936448607448,940.411401393173,377.701290203476
mps-uncap,0.1,9.357776321017335,137.83965657946766,49.889253965263585
mps-uncap,0.2,17.982137679341008,274.97145596225164,105.18557768105009
mps-uncap,0.3,29.67116273687297,378.8839636293227,147.4901074358122
mps-uncap,0.4,36.053215710880416,559.8886460520912,210.26408766416648
