mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_densenet169-8
mps-uncap,1.0,20.926475524902344,13.761043548583984,31.307697296142578
mig,1.0,16.22605323791504,9.973287582397461,28.084278106689453
