mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_densenet169-8
mps-uncap,1.0,10.026073455810547,2.7174949645996094,20.883560180664062
mig,1.0,10.881996154785156,1.8687248229980469,19.78015899658203
