mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_densenet169-8
mps-uncap,1.0,3510.0378177005746,2192.1053755131506,404.32206755656586
mig,1.0,3082.3778278500677,2279.66236963172,409.91867035305256
