mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,3.5930871963500977,11.244773864746094,13.251066207885742
mps-uncap,0.9,3.725290298461914,11.73710823059082,14.57059383392334
mps-uncap,1.0,4.006743431091309,12.547492980957031,16.02935791015625
mps-uncap,0.5,4.574060440063477,10.236501693725586,12.165546417236328
mps-uncap,0.6,3.6547183990478516,9.953022003173828,12.151956558227539
mps-uncap,0.7,3.185272216796875,10.432004928588867,12.839913368225098
mps-uncap,0.1,6.909608840942383,17.316818237304688,16.87932014465332
mps-uncap,0.2,6.669759750366211,14.003753662109375,17.024755477905273
mps-uncap,0.3,6.428003311157227,12.546062469482422,13.705730438232422
mps-uncap,0.4,4.741907119750977,11.960148811340332,12.653350830078125
