mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,2.7425289154052734,7.433414459228516,8.733272552490234
mps-uncap,0.9,2.7284622192382812,7.412195205688477,8.744001388549805
mps-uncap,1.0,2.722024917602539,7.453680038452148,9.107351303100586
mps-uncap,0.5,2.7382373809814453,7.354974746704102,8.785009384155273
mps-uncap,0.6,2.6903152465820312,7.317781448364258,8.743047714233398
mps-uncap,0.7,2.732992172241211,7.472038269042969,8.776187896728516
mps-uncap,0.1,2.833843231201172,7.4329376220703125,8.766412734985352
mps-uncap,0.2,2.7561187744140625,7.397651672363281,8.774757385253906
mps-uncap,0.3,2.8047561645507812,7.301807403564453,8.804559707641602
mps-uncap,0.4,2.777576446533203,7.356882095336914,8.816957473754883
