mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,49.0870475769043,115.07463455200195,168.66564750671387
mps-uncap,0.9,63.988447189331055,192.15774536132812,204.71549034118652
mps-uncap,1.0,535.3543758392334,1088.7835025787354,930.3436279296875
mps-uncap,0.5,39.999961853027344,49.608469009399414,53.02596092224121
mps-uncap,0.6,29.68764305114746,118.96467208862305,60.09531021118164
mps-uncap,0.7,28.23185920715332,88.94681930541992,115.22269248962402
mps-uncap,0.1,19.151687622070312,45.63426971435547,34.09719467163086
mps-uncap,0.2,33.9658260345459,48.95424842834473,41.017770767211914
mps-uncap,0.3,29.758453369140625,44.49653625488281,46.965837478637695
mps-uncap,0.4,29.964208602905273,43.68400573730469,50.933837890625
