mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,0.008344650268554688,0.011205673217773438,0.011205673217773438
mps-uncap,0.9,0.00858306884765625,0.010728836059570312,0.011205673217773438
mps-uncap,1.0,0.010251998901367188,0.011682510375976562,0.012874603271484375
mps-uncap,0.5,0.008106231689453125,0.01049041748046875,0.011444091796875
mps-uncap,0.6,0.008344650268554688,0.011444091796875,0.010728836059570312
mps-uncap,0.7,0.00858306884765625,0.009298324584960938,0.010967254638671875
mps-uncap,0.1,0.011444091796875,0.0133514404296875,0.012636184692382812
mps-uncap,0.2,0.010967254638671875,0.012159347534179688,0.013113021850585938
mps-uncap,0.3,0.010728836059570312,0.011444091796875,0.01239776611328125
mps-uncap,0.4,0.008344650268554688,0.010967254638671875,0.010967254638671875
