mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,2.784252166748047,7.4710845947265625,8.782625198364258
mps-uncap,0.9,2.782106399536133,7.518291473388672,8.840084075927734
mps-uncap,1.0,2.7916431427001953,7.630586624145508,10.789155960083008
mps-uncap,0.5,2.781391143798828,7.440805435180664,8.80575180053711
mps-uncap,0.6,2.7379989624023438,7.436275482177734,8.775711059570312
mps-uncap,0.7,2.7823448181152344,7.558107376098633,8.80885124206543
mps-uncap,0.1,2.8667449951171875,7.505655288696289,8.783340454101562
mps-uncap,0.2,2.797842025756836,7.489204406738281,8.791685104370117
mps-uncap,0.3,2.8214454650878906,7.36689567565918,8.831262588500977
mps-uncap,0.4,2.8204917907714844,7.408380508422852,8.848428726196289
