mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,10.004329681396477,36.642074584960945,34.31680202484134
mps-uncap,0.9,19.872236251831065,53.50797176361084,66.99814796447757
mps-uncap,1.0,401.23724937438965,830.8558464050294,742.5214767456056
mps-uncap,0.5,6.985878944396973,12.22372055053711,12.646675109863283
mps-uncap,0.6,6.311678886413574,15.488147735595705,14.224910736083986
mps-uncap,0.7,6.506800651550293,21.23236656188965,23.77307415008545
mps-uncap,0.1,2.0463466644287114,2.795886993408203,1.1115789413452337
mps-uncap,0.2,5.603194236755371,11.430311203002931,9.035348892211914
mps-uncap,0.3,6.886839866638184,11.661767959594721,11.650657653808615
mps-uncap,0.4,6.779956817626954,11.153221130371094,11.443853378295898
