mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,4.542303085327148,13.624382019042969,14.59662914276123
mps-uncap,0.9,4.526233673095703,12.740159034729004,15.947985649108887
mps-uncap,1.0,4.763007164001465,12.917613983154297,16.399097442626953
mps-uncap,0.5,5.525732040405273,13.131141662597656,14.082479476928711
mps-uncap,0.6,4.775214195251465,12.406301498413086,14.55235481262207
mps-uncap,0.7,4.278302192687988,12.868165969848633,15.078425407409668
mps-uncap,0.1,7.393193244934082,17.9124116897583,17.38896369934082
mps-uncap,0.2,7.312297821044922,17.597007751464844,18.47696304321289
mps-uncap,0.3,7.086992263793945,16.852569580078125,17.88792610168457
mps-uncap,0.4,6.62388801574707,13.756632804870605,16.793251037597656
