mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,26.05904579162589,90.71258544921875,96.77848100662327
mps-uncap,0.9,40.44850349426269,128.14801931381223,154.53759431839018
mps-uncap,1.0,487.1767640113831,1037.4492740631104,886.6362428665161
mps-uncap,0.5,19.85154390335083,34.85751152038574,41.578207015991204
mps-uncap,0.6,17.932584285736205,49.992933273315366,43.666114807128885
mps-uncap,0.7,17.08763837814331,59.31329727172848,72.69150018692017
mps-uncap,0.1,14.084541797637938,32.686758041381836,32.5820517539978
mps-uncap,0.2,18.770134449005106,36.69270038604733,37.06481456756589
mps-uncap,0.3,20.770394802093502,37.84434318542479,38.106460571289034
mps-uncap,0.4,19.458560943603516,35.62716245651245,35.36555767059327
