mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,5.0224947929382315,14.087610244750977,14.993629455566408
mps-uncap,0.9,4.982128143310546,13.074095249176024,16.29080057144165
mps-uncap,1.0,5.098164081573486,13.183698654174805,16.66469097137451
mps-uncap,0.5,6.708736419677737,14.320611953735352,17.440080642700195
mps-uncap,0.6,6.003401279449464,13.832664489746088,15.894322395324705
mps-uncap,0.7,4.975020885467529,13.764572143554688,15.720367431640625
mps-uncap,0.1,7.894735336303709,18.718717098236084,18.32585334777832
mps-uncap,0.2,8.049881458282465,19.562020301818848,20.71902751922607
mps-uncap,0.3,7.921755313873291,19.237709045410142,20.127944946289062
mps-uncap,0.4,7.629747390747071,17.64202117919922,19.383335113525398
