mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,1499.5277414676327,254.85507238404534,397.5299859601383
mps-uncap,0.9,1712.434771234047,276.02563697379674,437.44969396889593
mps-uncap,1.0,1909.7323116742514,319.12140962423655,497.5693523501035
mps-uncap,0.5,949.7099977144524,159.21830684824988,253.46056766579778
mps-uncap,0.6,1136.9274007075137,185.23161334200012,288.68494285965124
mps-uncap,0.7,1371.8547783726335,224.24163133808716,351.28822041100284
mps-uncap,0.1,184.61884969023785,31.594148412842177,51.73516805610072
mps-uncap,0.2,384.7189081437941,65.04240499315755,98.93556617143746
mps-uncap,0.3,565.3987622877395,99.32275651483657,146.06299431963035
mps-uncap,0.4,757.9407350445889,127.15386916562393,199.69022378721385
