mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,5.438685417175293,19.07062530517578,20.37501335144043
mps-uncap,0.9,7.899284362792969,23.53847026824951,29.091477394104004
mps-uncap,1.0,172.70386219024658,413.27571868896484,452.66830921173096
mps-uncap,0.5,5.511879920959473,12.574434280395508,13.560771942138672
mps-uncap,0.6,4.81724739074707,12.237071990966797,13.897299766540527
mps-uncap,0.7,4.539728164672852,13.765573501586914,15.684008598327637
mps-uncap,0.1,7.077932357788086,17.684578895568848,17.194032669067383
mps-uncap,0.2,6.899118423461914,16.987085342407227,17.519354820251465
mps-uncap,0.3,6.959676742553711,13.593912124633789,15.73491096496582
mps-uncap,0.4,6.066083908081055,13.175368309020996,13.688325881958008
