mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,6.172895431518555,15.018701553344727,15.205144882202148
mps-uncap,0.9,5.246877670288086,14.204740524291992,18.36419105529785
mps-uncap,1.0,6.033420562744141,15.200138092041016,17.398834228515625
mps-uncap,0.5,8.028984069824219,19.27804946899414,19.794702529907227
mps-uncap,0.6,7.708072662353516,15.12908935546875,17.856597900390625
mps-uncap,0.7,6.407260894775391,14.847755432128906,16.10422134399414
mps-uncap,0.1,8.383512496948242,19.878625869750977,19.758939743041992
mps-uncap,0.2,12.027502059936523,26.7641544342041,25.25615692138672
mps-uncap,0.3,8.686304092407227,19.848346710205078,20.76101303100586
mps-uncap,0.4,8.779287338256836,20.2939510345459,20.077943801879883
