mode,load,0_mobilenet_v3_large-8,1_resnet152-4,2_resnet152-8
mps-uncap,0.8,13.722705841064453,47.643280029296875,47.435426712036175
mps-uncap,0.9,23.679256439208988,65.3866291046143,81.40463829040527
mps-uncap,1.0,405.475378036499,842.8479194641114,758.5235357284547
mps-uncap,0.5,11.362552642822266,22.8421688079834,24.637937545776367
mps-uncap,0.6,10.163521766662596,25.188207626342777,26.68974399566651
mps-uncap,0.7,9.881377220153809,31.55827522277832,36.800265312194824
mps-uncap,0.1,8.4423303604126,18.88606548309326,18.37794780731201
mps-uncap,0.2,12.065887451171875,25.767564773559574,23.9790678024292
mps-uncap,0.3,12.958168983459473,23.845815658569332,25.005054473876953
mps-uncap,0.4,12.00690269470215,22.993922233581543,23.735761642456055
