mode,load,0_inception_v3-8,1_resnet34-16,2_resnet50-2
mps-uncap,0.8,141.12339258193967,81.48028850555421,72.8849792480469
mps-uncap,0.9,4705.234203338623,141.59556388854972,2333.0550146102905
mps-uncap,1.0,9023.75740289688,6267.448961734773,5064.360821247101
mps-uncap,0.5,39.37479019165036,18.20714473724367,19.176464080810536
mps-uncap,0.6,34.229471683502176,35.259137153625474,25.300347805023208
mps-uncap,0.7,52.93833255767816,46.98101997375488,53.406548500061035
mps-uncap,0.1,20.887861251831012,7.626399993896485,14.636712074279792
mps-uncap,0.2,22.213964462280305,11.577992439270021,17.168102264404304
mps-uncap,0.3,22.623872756957983,12.440896034240719,18.79739761352533
mps-uncap,0.4,24.437289237976067,15.850300788879391,16.490392684936516
