mode,load,0_inception_v3-8,1_resnet34-16,2_resnet50-2
mps-uncap,0.8,194.86331939697266,123.84462356567383,105.8344841003418
mps-uncap,0.9,4781.468152999878,174.12400245666504,2391.205310821533
mps-uncap,1.0,9220.235109329224,6355.929613113403,5117.924213409424
mps-uncap,0.5,77.38280296325684,42.73056983947754,33.09798240661621
mps-uncap,0.6,67.45314598083496,57.379961013793945,46.622276306152344
mps-uncap,0.7,114.5927906036377,78.9487361907959,84.49816703796387
mps-uncap,0.1,46.62680625915527,22.927522659301758,33.94341468811035
mps-uncap,0.2,46.83327674865723,26.385068893432617,34.22808647155762
mps-uncap,0.3,53.53546142578125,23.807764053344727,39.56484794616699
mps-uncap,0.4,44.6319580078125,34.37209129333496,31.38136863708496
