mode,load,0_inception_v3-8,1_resnet34-16,2_resnet50-2
mps-uncap,0.8,670.9203411190554,2126.7557244259606,320.1171260521622
mps-uncap,0.9,726.0104345765455,2382.5388992446333,342.46683167825387
mps-uncap,1.0,724.7771893758774,2419.3286569163374,365.71360725869204
mps-uncap,0.5,430.1915336667914,1339.0224762340604,196.1462556786217
mps-uncap,0.6,529.0501550482702,1580.9838696726615,235.3986647745837
mps-uncap,0.7,595.3245589984604,1857.7083022884344,276.888330300668
mps-uncap,0.1,79.05512759782474,263.3707803651573,40.77247961203868
mps-uncap,0.2,179.11477540255916,545.7906290071901,80.71224247483735
mps-uncap,0.3,258.71959081692,811.3527590716672,119.52155225596582
mps-uncap,0.4,348.3622630459097,1052.5949189478845,158.50010902062905
