mode,load,0_densenet161-4,1_resnet152-32,2_squeezenet1_0-2
mps-uncap,0.8,98.83463262851691,784.7916474146676,404.1186135548548
mps-uncap,0.9,112.70576165905364,939.5120843540342,440.05885672357846
mps-uncap,1.0,127.28666895307076,1026.9889068653288,493.1654494822134
mps-uncap,0.5,64.85358169235334,494.2788669217399,247.5792420406406
mps-uncap,0.6,73.98418334182429,615.2762297364803,298.3964829824508
mps-uncap,0.7,88.04479365306162,713.2522966453073,353.3653294681741
mps-uncap,0.1,12.030945160699616,102.15512203183422,50.410323166258586
mps-uncap,0.2,24.951113232711588,186.18898010117573,98.8973517220741
mps-uncap,0.3,36.37135796952373,311.6552952157155,150.46024830731054
mps-uncap,0.4,51.84485348849987,422.6043921552147,197.1385803933882
