mode,load,0_densenet161-4,1_resnet152-32,2_squeezenet1_0-2
mps-uncap,0.8,29.69536781311035,30.928421020507812,4.402446746826173
mps-uncap,0.9,27.899885177612305,31.99622631072998,4.8996925354003915
mps-uncap,1.0,28.45478057861328,32.17334747314453,5.3757429122924805
mps-uncap,0.5,27.071332931518555,29.796409606933594,3.632497787475586
mps-uncap,0.6,26.497340202331543,30.10187149047852,4.04047966003418
mps-uncap,0.7,27.02031135559082,30.760598182678223,4.255700111389159
mps-uncap,0.1,24.202823638916016,26.6340970993042,2.9989004135131836
mps-uncap,0.2,25.777959823608395,27.750372886657715,3.0320167541503906
mps-uncap,0.3,26.11696720123291,28.37371826171875,3.2683849334716797
mps-uncap,0.4,25.875186920166016,29.22372817993164,3.598451614379883
