mode,load,0_densenet161-4,1_resnet152-32,2_squeezenet1_0-2
mps-uncap,0.8,28.281807899475098,49.814462661743164,4.261493682861328
mps-uncap,0.9,39.67761993408203,98.04964065551758,6.786823272705078
mps-uncap,1.0,87.15617656707764,1498.5244274139404,14.019131660461426
mps-uncap,0.5,18.886327743530273,29.154300689697266,2.8188228607177734
mps-uncap,0.6,22.794008255004883,31.411409378051758,3.2541751861572266
mps-uncap,0.7,25.186538696289062,41.96441173553467,3.6264657974243164
mps-uncap,0.1,22.89104461669922,25.156259536743164,2.689361572265625
mps-uncap,0.2,22.963285446166992,25.409936904907227,2.710700035095215
mps-uncap,0.3,18.8443660736084,25.79331398010254,2.736806869506836
mps-uncap,0.4,18.258333206176758,27.87911891937256,2.806425094604492
