mode,load,0_densenet201-4,1_densenet201-4
mig,0.1,27.789592742919922,28.620505332946777
mig,0.2,21.314191818237305,21.50583267211914
mig,0.3,20.15864849090576,20.201730728149414
mig,0.4,15.097379684448244,14.862823486328125
mig,0.5,14.249277114868164,14.192461967468262
mig,0.6,13.910198211669922,13.520193099975586
mig,0.7,12.835025787353516,13.041925430297852
mig,0.8,12.599349021911621,12.378072738647461
mig,0.9,12.426376342773438,12.328624725341797
mig,1.0,12.450408935546875,12.083864212036133
