mode,load,0_densenet201-4,1_densenet201-4
mig,0.1,11.945962905883789,11.99793815612793
mig,0.2,11.870145797729492,11.973381042480469
mig,0.3,11.685609817504883,11.878013610839844
mig,0.4,11.760950088500977,11.866569519042969
mig,0.5,11.815547943115234,11.699676513671875
mig,0.6,11.806488037109375,11.713504791259766
mig,0.7,11.893987655639648,11.712312698364258
mig,0.8,11.965036392211914,11.644363403320312
mig,0.9,11.91258430480957,11.758804321289062
mig,1.0,11.841058731079102,11.701822280883789
