mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,63.52519989013672,53.62844467163086,34.48891639709473
mig,0.6,121.06657028198242,160.13121604919434,176.42664909362793
mps-uncap,0.7,103.50823402404785,97.43380546569824,48.22111129760742
mig,0.7,135.85519790649414,209.0926170349121,193.76635551452637
mps-uncap,0.8,182.06334114074707,95.12829780578613,92.96011924743652
mig,0.8,214.4486904144287,283.34593772888184,371.8841075897217
mps-uncap,0.9,449.4442939758301,128.28946113586426,85.19649505615234
mig,0.9,244.6420192718506,536.7772579193115,569.9262619018555
mps-uncap,1.0,8516.16382598877,202.14581489562988,92.95535087585449
mig,1.0,1349.4787216186523,1436.1481666564941,2936.9075298309326
mps-uncap,1.1,22939.414024353027,190.65356254577637,98.48785400390625
mig,1.1,6945.218086242676,7474.893808364868,9266.380310058594
mps-uncap,1.2,33229.46000099182,283.5824489593506,127.09999084472656
mig,1.2,12877.572298049927,14174.811601638794,13404.62613105774
mps-uncap,1.3,45310.50801277161,4432.42335319519,157.9594612121582
mig,1.3,21283.28824043274,21315.85717201233,20590.163469314575
