mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,0.013589859008789062,0.012874603271484375,0.012636184692382812
mig,0.6,0.013589859008789062,0.0133514404296875,0.01239776611328125
mps-uncap,0.7,0.011920928955078125,0.012874603271484375,0.0133514404296875
mig,0.7,0.013113021850585938,0.012874603271484375,0.013113021850585938
mps-uncap,0.8,0.0133514404296875,0.0133514404296875,0.011205673217773438
mig,0.8,0.0133514404296875,0.013113021850585938,0.012874603271484375
mps-uncap,0.9,0.012159347534179688,0.011920928955078125,0.01239776611328125
mig,0.9,0.013828277587890625,0.012874603271484375,0.013113021850585938
mps-uncap,1.0,0.014781951904296875,0.012874603271484375,0.012874603271484375
mig,1.0,0.015020370483398438,0.014066696166992188,0.01621246337890625
mps-uncap,1.1,0.016927719116210938,0.011205673217773438,0.012636184692382812
mig,1.1,0.015020370483398438,0.01430511474609375,0.015497207641601562
mps-uncap,1.2,0.03910064697265625,0.013113021850585938,0.01239776611328125
mig,1.2,0.014066696166992188,0.022411346435546875,0.030279159545898438
mps-uncap,1.3,0.02765655517578125,0.013828277587890625,0.01239776611328125
mig,1.3,0.014543533325195312,0.014543533325195312,0.017881393432617188
