mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,37.63526439666747,25.50878524780271,16.224803924560547
mig,0.6,53.912153244018185,97.76591777801511,100.57740211486832
mps-uncap,0.7,57.95354843139648,35.94880104064939,20.218069553375223
mig,0.7,82.126247882843,126.87550783157342,123.55934143066406
mps-uncap,0.8,110.81600189208984,48.34301471710206,31.362771987915067
mig,0.8,133.45580101013184,200.6798267364503,275.8477401733398
mps-uncap,0.9,295.2223587036132,64.24072265624993,35.30993938446041
mig,0.9,192.14767456054693,418.37265968322845,438.9561915397644
mps-uncap,1.0,8181.28999710083,138.1163954734812,51.577036380767865
mig,1.0,1283.6322212219238,1295.2011680603023,2801.48897409439
mps-uncap,1.1,22544.741382598877,130.05689620971665,53.90177249908443
mig,1.1,6728.714466094971,7320.310175418854,9033.499326705933
mps-uncap,1.2,32896.51054382324,224.88124847412115,54.036343097686746
mig,1.2,12749.736869335175,13914.742789268494,13203.605923652649
mps-uncap,1.3,44938.610029220574,4316.585831642151,92.7221775054931
mig,1.3,21022.307558059692,20936.848497390747,20163.213670253754
